epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.29708,1.61835,5.47943,3.69224,2.02154,0.00677,1,0.13272,0.06792,0.00677,1,0.13272,0.05786,1.65848,3.88994,3.27775,2.76585,0.00040008,0.00040008,0.00040008
2,7.54997,1.55261,5.14836,3.72849,2.04985,0.00685,1,0.15409,0.06507,0.00685,1,0.14323,0.06078,1.58438,4.22063,3.20173,2.67443,0.000776397,0.000776397,0.000776397
3,12.6234,1.42751,2.40164,3.59925,1.72503,0.00826,1,0.83679,0.39102,0.00826,1,0.83679,0.46297,1.7841,5.04397,3.15626,2.51628,0.00111146,0.00111146,0.00111146
4,16.1591,1.03778,1.28442,3.13901,1.36129,0.00675,1,0.92929,0.36141,0.00675,1,0.36421,0.12923,1.32021,4.16721,2.82757,2.23528,0.00140526,0.00140526,0.00140526
5,19.5387,1.19014,1.55821,3.16657,1.4685,0.1379,0.46154,0.09793,0.0425,0.16088,0.53846,0.11816,0.05285,1.57616,1.23693,3.20144,2.33149,0.00133693,0.00133693,0.00133693
6,22.9779,1.44097,1.93319,3.16041,1.66672,0.99895,1,0.995,0.74309,0.99895,1,0.995,0.82817,0.88417,1.11611,2.04398,1.79228,0.00125442,0.00125442,0.00125442
7,26.5278,1.18404,1.62091,2.76922,1.4473,0.52339,1,0.69326,0.22644,0.60773,0.95428,0.72243,0.34152,0.85524,0.68144,2.71529,1.41243,0.0011719,0.0011719,0.0011719
8,29.9004,0.95335,0.92002,2.72754,1.3449,0.52339,1,0.69326,0.22644,0.60773,0.95428,0.72243,0.34152,0.85524,0.68144,2.71529,1.41243,0.00108938,0.00108938,0.00108938
9,33.3514,0.78694,0.88098,2.36258,1.23424,0.96047,1,0.995,0.81088,0.96047,1,0.995,0.83007,0.54389,0.8175,2.31433,1.16967,0.00100687,0.00100687,0.00100687
10,36.7785,0.67751,0.68793,2.02913,1.13851,0.9949,1,0.995,0.8459,0.9949,1,0.995,0.87339,0.46371,0.49033,1.61079,1.23506,0.000924352,0.000924352,0.000924352
11,40.6653,0.56294,0.61461,1.82064,1.04299,0.99508,1,0.995,0.84717,0.99508,1,0.995,0.84492,0.52429,0.45089,1.15064,1.16839,0.000841835,0.000841835,0.000841835
12,45.6074,0.5183,0.59933,1.77257,1.00511,0.99508,1,0.995,0.84717,0.99508,1,0.995,0.84492,0.52429,0.45089,1.15064,1.16839,0.000759318,0.000759318,0.000759318
13,48.9861,0.43852,0.53301,1.54642,0.97805,0.99601,1,0.995,0.88199,0.99601,1,0.995,0.95783,0.39509,0.37128,0.91215,1.02984,0.000676802,0.000676802,0.000676802
14,52.4707,0.39935,0.50368,1.48591,0.94098,0.99591,1,0.995,0.89621,0.99591,1,0.995,0.9104,0.3238,0.37045,0.8869,0.99445,0.000594286,0.000594286,0.000594286
15,56.0693,0.37666,0.4643,1.47572,0.90106,0.99574,1,0.995,0.96781,0.99574,1,0.995,0.995,0.29718,0.36598,1.07207,0.99054,0.000511769,0.000511769,0.000511769
16,59.4072,0.37618,0.44837,1.44249,0.90937,0.99614,1,0.995,0.995,0.99614,1,0.995,0.995,0.28247,0.34568,0.86751,0.97046,0.000429253,0.000429253,0.000429253
17,62.7595,0.4,0.42246,1.42562,0.94247,0.99614,1,0.995,0.995,0.99614,1,0.995,0.995,0.28247,0.34568,0.86751,0.97046,0.000346736,0.000346736,0.000346736
18,66.0792,0.32441,0.39938,1.34137,0.87583,0.99614,1,0.995,0.995,0.99614,1,0.995,0.995,0.2733,0.31882,0.76704,0.96331,0.00026422,0.00026422,0.00026422
19,69.4623,0.29403,0.38626,1.3083,0.85979,0.99624,1,0.995,0.995,0.99624,1,0.995,0.995,0.24921,0.30252,0.75584,0.95697,0.000181703,0.000181703,0.000181703
20,74.5194,0.28772,0.3866,1.28372,0.89211,0.99617,1,0.995,0.995,0.99617,1,0.995,0.995,0.22937,0.29249,0.75163,0.95522,9.91865e-05,9.91865e-05,9.91865e-05
